"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @SaudiTeachers: ַוÊדַד זַֹׁׂ ַבÊÚבםד ָֽדבֹ Þםַֹֿ ַבדֳֹׁ בב׃םַֹׁ םֻםׁ Ê׃ִַב הֽז200 ֳבÝ דÚבדֹ ׃Úזֿםֹ ¡וב הֽה ײדה ֶַֹֿׁ ַוÊדַד זַֹׁׂ ַבÊÚבם…",FALSE,0,NA,2017-12-17 06:32:25,FALSE,NA,"942281307912056832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SBpy7tmqqx1dPNC",143,TRUE,FALSE,NA,NA
"RT @SaudiNews50: #ַבדׁזׁ:

.
׃םÊד ַ׃Êַָֿב ׁ־ױ #Þםַֹֿ_ַבדֳֹׁ ׃ַׁםֹ ַבדÝÚזב ַבױַֹֿׁ דה ַבֿזב ַב־בםּםֹ ָׁ־ױ ׃Úזֿםֹ דדַֻבֹ .

.
#Þםַֹֿ_ַבדֳֹׁ_ב…",FALSE,0,NA,2017-12-17 05:43:20,FALSE,NA,"942268957091868673",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abdualazizalha8",215,TRUE,FALSE,NA,NA
"RT @NAJRAN_NOW: ַבדׁזׁ:
בַ םזּֿ Êדםםׂ ב׃םַַׁÊ ַבה׃ֱַ ָבזֽ זֳׁÞַד ־ַױֹ ¡ ָב Ê־ײÚ בהÝ׃ הÙַד ַבבזַֽÊ ַבדÚדזב ָו ַֽבםַ Ýם ַבדַֹֿ ַב׃ַָÚֹ דה הÙַ…",FALSE,0,NA,2017-12-17 05:18:34,FALSE,NA,"942262722598723584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lajam_sami",4,TRUE,FALSE,NA,NA
"RT @jnooob_07: ַבבם ״ַבָזַ ַָבÞַׁׁ דÊּה׃ַÊ זה׃ֱַ םָזה ַבÝ׃ַֿ בב׃Úזֿםֹ בֳה ד׃Êֽםב ׃Úזֿםֹ Êׁײל ַָבÝ׃ַֿ ָז״הוַ זֵה װֱַ ַבבו ָםהבÛם ַבÞַׁׁ זַבב…",FALSE,0,NA,2017-12-17 05:04:50,FALSE,NA,"942259269042307072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","i3lawi__",50,TRUE,FALSE,NA,NA
"װַוֿ .. “ #ד׀םÚֹ_׃Úזֿםֹ ” Ýם “ױהַÚםֹ ַב׃םַַׁÊ” ַָבׁםַײ ÊßװÝ Úה ֲ־ׁ ַבַ׃ÊÚַַֿֿÊ בÞםַֹֿ ַבדֳֹׁ ! https://t.co/1vG4PdGLY9     #Þםַֹֿ_ַבדַֹׁ",FALSE,1,NA,2017-12-17 04:09:17,FALSE,NA,"942245287388766208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marsdnews24",0,FALSE,FALSE,NA,NA
"RT @SaudiTeachers: ַוÊדַד זַֹׁׂ ַבÊÚבםד ָֽדבֹ Þםַֹֿ ַבדֳֹׁ בב׃םַֹׁ םֻםׁ Ê׃ִַב הֽז200 ֳבÝ דÚבדֹ ׃Úזֿםֹ ¡וב הֽה ײדה ֶַֹֿׁ ַוÊדַד זַֹׁׂ ַבÊÚבם…",FALSE,0,NA,2017-12-17 01:55:58,FALSE,NA,"942211739554377729",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eye112233",143,TRUE,FALSE,NA,NA
"RT @eyesaudi: ׃Úזֿםֹ ÊÊּזףרב Ýם ַבױהַÚםֹ זÊהÞב בבה׃ֱַ דֿל ַ׃ÊÚַֿֿ ַבזׁװ בÞםַֿÊוה
#Þםַֿו_ַבדֳׁו_בב׃םַׁו 
_ https://t.co/CNV2rKWs8k",FALSE,0,NA,2017-12-17 00:52:16,FALSE,NA,"942195708978974720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abo_hane11",6,TRUE,FALSE,NA,NA
"RT @HBuyabes: ֳזַדׁ דבßםֹ Ýם ׃Úזֿםֹ
<U+25AA><U+FE0F>ַבדÚÊׁײזה:דÛֿׁזַ ַבßזםÊ
ֿזׁ ׃םהדַ Ýם ׃Úזֿםֹ
<U+25AA><U+FE0F>ַבדÚÊׁײזה:דÛֿׁזַ ַבßזםÊ
Þםַֹֿ ַבדֳֹׁ Ýם ַב׃Úזֿםֹ
<U+25AA><U+FE0F>ַבדÚ…",FALSE,0,NA,2017-12-16 23:51:46,FALSE,NA,"942180483978448896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ozlimylmaz19",61,TRUE,FALSE,NA,NA
"RT @SaudiNews50: #ַבדׁזׁ:

.
׃םÊד ַ׃Êַָֿב ׁ־ױ #Þםַֹֿ_ַבדֳֹׁ ׃ַׁםֹ ַבדÝÚזב ַבױַֹֿׁ דה ַבֿזב ַב־בםּםֹ ָׁ־ױ ׃Úזֿםֹ דדַֻבֹ .

.
#Þםַֹֿ_ַבדֳֹׁ_ב…",FALSE,0,NA,2017-12-16 23:48:08,FALSE,NA,"942179569309835264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dhafer5092",215,TRUE,FALSE,NA,NA
"RT @eyesaudi: ׃Úזֿםֹ ÊÊּזףרב Ýם ַבױהַÚםֹ זÊהÞב בבה׃ֱַ דֿל ַ׃ÊÚַֿֿ ַבזׁװ בÞםַֿÊוה
#Þםַֿו_ַבדֳׁו_בב׃םַׁו 
_ https://t.co/CNV2rKWs8k",FALSE,0,NA,2017-12-16 23:37:35,FALSE,NA,"942176914101407746",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","milanee1998",6,TRUE,FALSE,NA,NA
