,score,text,,,,,,,,,,,,,,,,,,
96,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/gICBvtRkYj",,,,,,,,,,,,,,,,,,
97,0,"Saudi women can rev up motorbikes, trucks after driving ban lifted

 Saudi women will not only be allowed to get be… https://t.co/CgJKCjWdAr",,,,,,,,,,,,,,,,,,
98,0,Saudi Arabian women can drive now- Ban on driving is removed https://t.co/01vuKuJc2E https://t.co/UDWmviVwit,,,,,,,,,,,,,,,,,,
99,0,@RedPillLiberty @sandy45_46 @HCDotNet @Flewbys @AmericanHotLips @Tiffany83_ @Redheaded_Jenn @SparkleSoup45… https://t.co/XzlBMCyc11,,,,,,,,,,,,,,,,,,
100,1,RT @sheikhaAldosary: Women driving in Saudi Arabia: Important questions answered https://t.co/vPFLHrHv8e,,,,,,,,,,,,,,,,,,
101,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/LvOpawWf2i",,,,,,,,,,,,,,,,,,
102,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
103,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
104,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
105,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
106,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
107,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
108,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
109,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
110,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
111,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
112,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
113,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
114,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
115,0,Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about wome… https://t.co/gyCFJBj73q,,,,,,,,,,,,,,,,,,
116,0,KAU to have driving school for women - Saudi Gazette https://t.co/t6cFb4YPIJ,,,,,,,,,,,,,,,,,,
117,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/l4M6pUMBUk",,,,,,,,,,,,,,,,,,
118,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/KTQoJ65erD",,,,,,,,,,,,,,,,,,
119,0,Saudi women can rev up motorbikes and trucks after driving ban lifted https://t.co/T8VPTtiwkj,,,,,,,,,,,,,,,,,,
120,0,Saudi women can rev up motorbikes and trucks after driving ban lifted https://t.co/lZO3ZFd5Q6,,,,,,,,,,,,,,,,,,
121,0,Saudi women can rev up motorbikes and trucks after driving ban lifted https://t.co/oTuOYuYhon,,,,,,,,,,,,,,,,,,
122,0,"Retweeted The Daily Star (@DailyStarLeb):

Saudi women can rev up motorbikes, trucks after driving ban lifted... https://t.co/SuIYFmPfCw",,,,,,,,,,,,,,,,,,
123,0,"RT @DailyStarLeb: Saudi women can rev up motorbikes, trucks after driving ban lifted https://t.co/LfhqQrEzv1",,,,,,,,,,,,,,,,,,
124,0,"Saudi women can rev up motorbikes, trucks after driving ban lifted https://t.co/LfhqQrEzv1",,,,,,,,,,,,,,,,,,
